URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/peugeot-3008-active-business-diesel-noir-70bc51ca-61d2-4378-a00f-cb9478cc0363,Peugeot 3008,Active Business,"€ 15 490,-",Autres,Occasion,5,5,VF3MCYHZUMS027190,3 mois,136 500 km,01/2021,96 kW (131 CH),Boîte automatique,,Diesel,103 g/km (mixte),NOIR,Métallisé,,28
https://www.autoscout24.fr/offres/renault-laguna-2-0-dci-150-dynamique-diesel-a8886708-4c27-4a73-85bf-296d30df16b5,Renault Laguna,2.0 DCI 150 DYNAMIQUE,"€ 2 990,-",Berline,Occasion,5,5,4153,,248 400 km,09/2008,112 kW (152 CH),Boîte manuelle,1 995 cm³,Diesel,158 g/km (mixte),GRIS,Métallisé,,1
https://www.autoscout24.fr/offres/abarth-500-500c-1-4-tb-140cv-bva-2012-essence-60553910-4494-4e20-9c2f-48b26c2e21ee,Abarth 500,500c 1.4 TB 140cv-BVA-2012,"€ 7 900,-",Cabriolet,Occasion,4,2,,,92 000 km,06/2012,104 kW (141 CH),Boîte automatique,,Essence,0 g/km (mixte),Autre,,,2
https://www.autoscout24.fr/offres/opel-corsa-corsa-100-cv-van-diesel-2-places-diesel-bleu-a852c9e8-6fe1-4ec1-a0da-244e49cef0da,Opel Corsa,Corsa 100 CV van diesel 2 places,"€ 7 500,-",Autres,Occasion,,5,1324-0004808,6 mois,193 157 km,03/2022,70 kW (95 CH),Boîte manuelle,1 248 cm³,Diesel,88 g/km (mixte),Bleu,,,3
https://www.autoscout24.fr/offres/opel-corsa-1-2-turbo-100ch-edition-essence-4d291d91-be79-410d-a506-468c44300024,Opel Corsa,1.2 Turbo 100ch Edition,"€ 12 499,-1",Berline,Occasion,5,5,153100138,12 mois,40 333 km,02/2021,75 kW (102 CH),Boîte manuelle,1 199 cm³,Essence,125 g/km (mixte),Orange Fizz métallisé,,,4
https://www.autoscout24.fr/offres/renault-clio-1-5-dci-75ch-businesse-diesel-blanc-d9447235-06e1-4ad3-b63f-70bf649f7505,Renault Clio,1.5 DCI 75ch BUSINESSE,"€ 5 490,-",Berline,Occasion,2,5,,3 mois,185 525 km,07/2018,41 kW (56 CH),Boîte manuelle,,Diesel,85 g/km (mixte),Blanc Laqué,,,5
https://www.autoscout24.fr/offres/peugeot-5008-1-6-thp-16v-premium-7pl-essence-21f65302-1631-418b-b827-03daa3df09d7,Peugeot 5008,1.6 THP 16V PREMIUM 7PL,"€ 4 990,-",Monospace,Occasion,7,5,1899,3 mois,162 290 km,03/2011,116 kW (158 CH),Boîte manuelle,1 598 cm³,Essence,167 g/km (mixte),GRIS C,,Noir,6
https://www.autoscout24.fr/offres/peugeot-3008-hybrid4-2-0l-hdi-163ch-37ch-electric-electrique-essence-blanc-11968c47-179f-42c6-8f74-29f05eaf211e,Peugeot 3008,Hybrid4 2.0l hdi 163ch +37ch Électric,"€ 7 990,-",Monospace,Occasion,5,5,,,146 000 km,02/2015,148 kW (201 CH),Boîte automatique,,,0 g/km (mixte),Blanc,,,7
https://www.autoscout24.fr/offres/smart-fortwo-61ch-passion-essence-noir-2b03e93d-e817-4341-b7a7-edd544333a1b,smart forTwo,61CH PASSION,"€ 2 900,-",Berline,Occasion,,3,1324-0004028,,98 100 km,03/2004,,Boîte manuelle,,Essence,,Noir,,,8
https://www.autoscout24.fr/offres/audi-a8-3-3-0-tdi-dpf-tiptronic-quattro-diesel-noir-6ba71364-db02-4a57-ba14-757b2d23ee49,Audi A8,(3) 3.0 TDI DPF Tiptronic Quattro,"€ 19 990,-",Berline,Occasion,5,4,,,123 900 km,09/2011,184 kW (250 CH),Boîte automatique,,Diesel,174 g/km (mixte),Noir,,,9
https://www.autoscout24.fr/offres/alfa-romeo-giulietta-romeo-1-6l-jtdm-105-garantie-diesel-noir-81dc092f-fc4c-4644-95eb-ca77a2265e5f,Alfa Romeo Giulietta,Roméo 1.6l jtdm 105 GARANTIE,"€ 6 990,-",Berline,Occasion,5,5,,,142 000 km,03/2014,78 kW (106 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Noir,,,10
https://www.autoscout24.fr/offres/citroen-c4-ii-1-2-130ch-shine-automatique-essence-930cdf78-6956-4ed1-b81d-47ab02240000,Citroen C4,II 1.2 130ch SHINE - Automatique,"€ 9 990,-",Berline,Occasion,5,5,r0061651,6 mois,34 428 km,11/2015,96 kW (131 CH),Boîte automatique,,Essence,117 g/km (mixte),Gris foncé,,Noir,11
https://www.autoscout24.fr/offres/ford-ecosport-1-0-ecoboost-125-trend-essence-noir-0b143085-2d09-4602-b1d7-bd83e4be712e,Ford EcoSport,1.0 EcoBoost 125 Trend,"€ 7 390,-",SUV/4x4/Pick-Up,Occasion,5,5,r0061722,6 mois,68 107 km,09/2016,92 kW (125 CH),Boîte manuelle,,Essence,125 g/km (mixte),Noir,,Noir,12
https://www.autoscout24.fr/offres/mini-cooper-cooper-120ch-pack-chili-essence-b28f8524-4b0c-4df1-bca2-d492446491ac,MINI Cooper,COOPER 120CH PACK CHILI,"€ 4 490,-",Berline,Occasion,4,3,1864,6 mois,165 000 km,11/2008,90 kW (122 CH),Boîte manuelle,1 598 cm³,Essence,129 g/km (mixte),ROUGE,Métallisé,Noir,13
https://www.autoscout24.fr/offres/mini-cooper-cooper-120ch-pack-chili-essence-b28f8524-4b0c-4df1-bca2-d492446491ac,MINI Cooper,COOPER 120CH PACK CHILI,"€ 4 490,-",Berline,Occasion,4,3,1864,6 mois,165 000 km,11/2008,90 kW (122 CH),Boîte manuelle,1 598 cm³,Essence,129 g/km (mixte),ROUGE,Métallisé,Noir,14
https://www.autoscout24.fr/offres/citroen-c4-picasso-puretech-130ch-feel-s-u0026s-essence-a2fd76bc-5be8-4a5a-a15b-bb95374be786,Citroen C4 Picasso,PURETECH 130CH FEEL S\u0026S,"€ 6 990,-",Monospace,Occasion,5,5,1985,3 mois,114 292 km,06/2018,98 kW (133 CH),Boîte manuelle,1 199 cm³,Essence,115 g/km (mixte),GRIS F,,Noir,15
https://www.autoscout24.fr/offres/citroen-c4-picasso-puretech-130ch-feel-s-u0026s-essence-a2fd76bc-5be8-4a5a-a15b-bb95374be786,Citroen C4 Picasso,PURETECH 130CH FEEL S\u0026S,"€ 6 990,-",Monospace,Occasion,5,5,1985,3 mois,114 292 km,06/2018,98 kW (133 CH),Boîte manuelle,1 199 cm³,Essence,115 g/km (mixte),GRIS F,,Noir,16
